suburb,city,Count
Melbourne,Melbourne,3850
Southbank,Melbourne,1190
Saint Kilda,Port Phillip,802
South Yarra,Stonnington,790
Docklands,Melbourne,612
Richmond,Yarra,570
Carlton,Melbourne,531
Brunswick,Moreland,434
Fitzroy,Yarra,375
North Melbourne,Melbourne,340
Melbourne,Port Phillip,330
Elwood,Port Phillip,325
Collingwood,Yarra,295
Northcote,Darebin,279
South Melbourne,Port Phillip,278
West Melbourne,Melbourne,263
Prahran,Stonnington,261
Abbotsford,Yarra,257
Port Melbourne,Port Phillip,256
Fitzroy North,Yarra,229
St Kilda,Port Phillip,196
Point Cook,Wyndham,191
East Melbourne,Melbourne,184
Box Hill,Whitehorse,182
Hawthorn,Boroondara,181
Glen Waverley,Monash,173
Brunswick East,Moreland,171
Windsor,Stonnington,169
Footscray,Maribyrnong,166
Healesville,Yarra Ranges,151
Preston,Darebin,142
Saint Kilda East,Port Phillip,139
Doncaster,Manningham,132
Brighton,Bayside,122
Toorak,Stonnington,116
Caulfield North,Glen Eira,114
Thornbury,Darebin,113
Kensington,Melbourne,112
Coburg,Moreland,108
Kew,Boroondara,108
Clayton,Monash,107
Carlton North,Yarra,103
Balaclava,Port Phillip,102
Malvern East,Stonnington,93
South Yarra,Melbourne,93
Saint Kilda West,Port Phillip,90
Olinda,Yarra Ranges,87
Camberwell,Boroondara,86
Parkville,Melbourne,86
Carnegie,Glen Eira,83
Box Hill North,Whitehorse,82
Yarraville,Maribyrnong,82
Hawthorn East,Boroondara,81
Ascot Vale,Moonee Valley,80
Brunswick West,Moreland,80
Williamstown,Hobsons Bay,74
Elsternwick,Glen Eira,71
Mount Waverley,Monash,71
Albert Park,Port Phillip,70
Warburton,Yarra Ranges,70
Reservoir,Darebin,69
Armadale,Stonnington,67
Frankston,Frankston,66
Clifton Hill,Yarra,65
Flemington,Moonee Valley,63
Hampton,Bayside,58
Balwyn,Boroondara,57
Maribyrnong,Maribyrnong,57
Werribee,Wyndham,56
Burwood,Whitehorse,52
Caulfield South,Glen Eira,52
Moonee Ponds,Moonee Valley,52
Bentleigh East,Glen Eira,51
Cheltenham,Kingston,50
Essendon,Moonee Valley,50
Sandringham,Bayside,50
Middle Park,Port Phillip,48
Murrumbeena,Glen Eira,48
Doncaster East,Manningham,47
Southbank,Port Phillip,46
Heidelberg,Banyule,45
Truganina,Wyndham,45
Cremorne,Yarra,44
Newport,Hobsons Bay,44
Ringwood,Maroondah,44
Brighton East,Bayside,43
Glen Iris,Stonnington,43
Tarneit,Wyndham,43
Balwyn North,Boroondara,41
Keysborough,Greater Dandenong,41
Saint Kilda East,Glen Eira,41
Rowville,Knox,40
Blackburn,Whitehorse,39
Notting Hill,Monash,39
Seaford,Frankston,39
Williams Landing,Wyndham,39
Bentleigh,Glen Eira,38
Malvern,Stonnington,38
West Footscray,Maribyrnong,38
Frankston South,Frankston,37
Glenroy,Moreland,37
Bundoora,Whittlesea,36
Seddon,Maribyrnong,36
Travancore,Moonee Valley,36
Ivanhoe,Banyule,34
Mitcham,Whitehorse,34
Box Hill South,Whitehorse,33
Craigieburn,Hume,33
Emerald,Cardinia,33
Fairfield,Darebin,33
Parkdale,Kingston,33
Altona,Hobsons Bay,32
Berwick,Casey,31
Dandenong,Greater Dandenong,29
St Kilda East,Port Phillip,29
Wantirna South,Knox,29
Glen Iris,Boroondara,28
Mount Dandenong,Yarra Ranges,28
Oakleigh East,Monash,28
Vermont South,Whitehorse,28
Burwood East,Whitehorse,27
Caulfield,Glen Eira,27
Noble Park,Greater Dandenong,27
Highett,Bayside,25
Mont Albert,Whitehorse,25
Ormond,Glen Eira,25
Ripponlea,Port Phillip,25
Sassafras,Yarra Ranges,25
Sunshine,Brimbank,25
Warrandyte,Manningham,25
Caroline Springs,Melton,24
Chadstone,Monash,24
Coburg North,Moreland,24
Pascoe Vale,Moreland,24
Sunbury,Hume,24
Bundoora,Banyule,23
Maidstone,Maribyrnong,23
Princes Hill,Yarra,23
Templestowe,Manningham,23
Airport West,Moonee Valley,22
Beaumaris,Bayside,22
Bonbeach,Kingston,22
Glen Huntly,Glen Eira,22
Hoppers Crossing,Wyndham,22
Mulgrave,Monash,22
Surrey Hills,Whitehorse,22
Alphington,Darebin,21
Boronia,Knox,21
Bulleen,Manningham,21
Eltham,Nillumbik,21
Heidelberg Heights,Banyule,21
Pakenham,Cardinia,21
Black Rock,Bayside,20
Canterbury,Boroondara,20
Clayton South,Kingston,20
Ferntree Gully,Knox,20
Lilydale,Yarra Ranges,20
Mentone,Kingston,20
Springvale,Greater Dandenong,20
Westmeadows,Hume,20
Altona Meadows,Hobsons Bay,19
Badger Creek,Yarra Ranges,19
Belgrave,Yarra Ranges,19
Chelsea,Kingston,19
Hughesdale,Monash,19
St Kilda West,Port Phillip,19
Aspendale,Kingston,18
Mill Park,Whittlesea,18
Mont Albert North,Whitehorse,18
Mordialloc,Kingston,18
Narre Warren,Casey,18
Wantirna,Knox,18
Yarra Glen,Yarra Ranges,18
Altona North,Hobsons Bay,17
Braybrook,Maribyrnong,17
Epping,Whittlesea,17
Greenvale,Hume,17
Kalorama,Yarra Ranges,17
Melbourne,Yarra,17
Pascoe Vale South,Moreland,17
Surrey Hills,Boroondara,17
Templestowe Lower,Manningham,17
Alphington,Yarra,16
Ashburton,Boroondara,16
Bundoora,Darebin,16
Forest Hill,Whitehorse,16
McKinnon,Glen Eira,16
Narre Warren South,Casey,16
Oakleigh,Monash,16
Oakleigh South,Monash,16
The Patch,Yarra Ranges,16
Tullamarine,Hume,16
Broadmeadows,Hume,15
Gembrook,Cardinia,15
Gruyere,Yarra Ranges,15
Laverton,Hobsons Bay,15
Melbourne,Stonnington,15
Mooroolbark,Yarra Ranges,15
Mt Dandenong,Yarra Ranges,15
Upwey,Yarra Ranges,15
Windsor,Port Phillip,15
Wyndham Vale,Wyndham,15
Edithvale,Kingston,14
Hampton East,Bayside,14
Heatherton,Kingston,14
Highett,Kingston,14
Kangaroo Ground,Nillumbik,14
Melton South,Melton,14
Oak Park,Moreland,14
Patterson Lakes,Kingston,14
Toolern Vale,Melton,14
Vermont,Whitehorse,14
Ashwood,Monash,13
Carrum,Kingston,13
Chum Creek,Yarra Ranges,13
Cockatoo,Cardinia,13
Croydon,Maroondah,13
Keilor East,Moonee Valley,13
Moorabbin,Kingston,13
Officer,Cardinia,13
Ringwood East,Maroondah,13
Rosanna,Banyule,13
Wheelers Hill,Monash,13
Yarra Junction,Yarra Ranges,13
Bayswater,Knox,12
Blackburn South,Whitehorse,12
Cranbourne North,Casey,12
Heidelberg West,Banyule,12
Kallista,Yarra Ranges,12
Spotswood,Hobsons Bay,12
Thomastown,Whittlesea,12
Burnley,Yarra,11
Carlton North,Melbourne,11
Chirnside Park,Yarra Ranges,11
Croydon North,Maroondah,11
Endeavour Hills,Casey,11
Ferny Creek,Yarra Ranges,11
Kingsbury,Darebin,11
Saint Albans,Brimbank,11
Scoresby,Knox,11
South Kingsville,Hobsons Bay,11
South Morang,Whittlesea,11
Windsor,Melbourne,11
Cheltenham,Bayside,10
Dixons Creek,Yarra Ranges,10
Doreen,Whittlesea,10
Fawkner,Moreland,10
Flemington,Melbourne,10
Kew East,Boroondara,10
Kingsville,Maribyrnong,10
Lalor,Whittlesea,10
Langwarrin South,Frankston,10
South Melbourne,Melbourne,10
Springvale South,Greater Dandenong,10
,Melbourne,9
Caulfield East,Glen Eira,9
Cranbourne East,Casey,9
Dandenong North,Greater Dandenong,9
East Melbourne,Yarra,9
Fitzroy North,Moreland,9
Knoxfield,Knox,9
Langwarrin,Frankston,9
Montmorency,Banyule,9
Nunawading,Whitehorse,9
Blackburn North,Whitehorse,8
Cranbourne West,Casey,8
Donvale,Manningham,8
Greensborough,Banyule,8
Hadfield,Moreland,8
Launching Place,Yarra Ranges,8
Melbourne,Boroondara,8
Melbourne,Moreland,8
Monbulk,Yarra Ranges,8
Park Orchards,Manningham,8
Sandhurst,Frankston,8
Seville,Yarra Ranges,8
South Wharf,Melbourne,8
Sunshine North,Brimbank,8
Sunshine West,Brimbank,8
Viewbank,Banyule,8
Brunswick East,Yarra,7
Burwood,Monash,7
Coldstream,Yarra Ranges,7
Dandenong Ranges,Yarra Ranges,7
Emerald,Yarra Ranges,7
Kealba,Brimbank,7
Keilor Downs,Brimbank,7
Kurunjang,Melton,7
Manningham,Manningham,7
Melbourne,Whitehorse,7
Mernda,Whittlesea,7
Millgrove,Yarra Ranges,7
Mount Evelyn,Yarra Ranges,7
Ringwood North,Maroondah,7
Tecoma,Yarra Ranges,7
The Basin,Knox,7
Victoria,Melbourne,7
Wandin North,Yarra Ranges,7
Belgrave Heights,Yarra Ranges,6
Carlton,Yarra,6
Clyde North,Casey,6
