YearBuilt,BuildingArea,Price,Bedroom2,Rooms,Car,Landsize,Type=h,Type=t,Type=u,Regionname=Eastern Metropolitan,Regionname=Eastern Victoria,Regionname=Northern Metropolitan,Regionname=Northern Victoria,Regionname=South-Eastern Metropolitan,Regionname=Southern Metropolitan,Regionname=Western Metropolitan,Regionname=Western Victoria,pca1,pca2
1960.0,108.6,1480000.0,2.0,2.0,1.0,202.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,492883.81271647674,-280.9877516532198
1900.0,79.0,1035000.0,2.0,2.0,0.0,156.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47883.81109259601,-264.3873202058517
1900.0,150.0,1465000.0,3.0,3.0,0.0,134.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,477883.8058177765,-346.4695189661283
1960.0,108.6,850000.0,3.0,3.0,1.0,94.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-137116.19576823027,-299.808992586366
2014.0,142.0,1600000.0,3.0,4.0,2.0,120.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,612883.8000011522,-379.5425214876551
1960.0,108.6,941000.0,2.0,2.0,0.0,181.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-46116.18446327822,-225.69606418575083
1910.0,210.0,1876000.0,4.0,3.0,0.0,245.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,888883.8189600231,-292.9810843100174
1890.0,107.0,1636000.0,2.0,2.0,2.0,256.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,648883.8199112237,-249.1626062127603
1960.0,108.6,300000.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-687116.2031405327,-315.9580292642385
1900.0,75.0,1097000.0,3.0,2.0,2.0,220.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,109883.81932683747,-209.2092381198356
1960.0,108.6,700000.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-287116.20743251196,-372.5735928928046
